smiles,min_bde_pred,Td
CN([N+]([O-])=O)CN1N=NC(N([N+]([O-])=O)CN([N+]([O-])=O)C)=N1,79.59738,397
CC(C)(OC(=O)OCC1=CC=C(C=C1)[N+]([O-])=O)[C@H]1[C@@H](CC(=O)CC(=O)OCC2=CC=C(C=C2)[N+]([O-])=O)NC1=O,18.748371,397.15
C[C@]12CC[C@H]3[C@@H](C=CC4=C(N=[N+]=[N-])C(=O)C=C[C@]34C)[C@@H]1CCC2=O,57.932682,397.15
O=C(OCC)N(C1=NON=C1N([N+]([O-])=O)C(OCC)=O)[N+]([O-])=O,55.10496,397.15
O=[N+](NC1=NNC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=C1[N+]([O-])=O)[O-],71.67778,397.15
[O-][N+](=O)C1=CC=C(C=C1)C1=C(C(=O)NC1=O)C1=CNC2=CC=CC=C12,19.69337,398.15
CCCCC1=NC2=C(C(N(CC2)C(=O)CC(=O)OCC)C(=O)OC)N1CC1=CC(C2=NN=NN2C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)=C(C=C1)C1=CC=CC=C1,22.182987,398.15
CCCCC1=NC2=C(C(N(CC2)C(=O)CC(=O)OCC)C(=O)OC)N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,23.53806,398.15
CCCC1=C2N=C(CC)C=C(NCC3=CC=C(C=C3)C3=C(C=CC=C3)C3=NN=NN3)N2N=C1,24.264751,398.15
CCC1=NN2C(N=C(CC)C=C2NCC2=CC=C(C=C2)C2=C(C=CC=C2)C2=NN=NN2)=C1C,24.264751,398.15
O=[N+](NC1=NC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NN1)[O-],70.2231,398.15
O=[N+](N([H])C(C([H])=C(C([N+]([O-])=O)=C1[H])N([H])[N+]([O-])=O)=C1[N+]([O-])=O)[O-],12.44853,398.15
CN([N+]([O-])=O)CN([N+]([O-])=O)C1=NON=C1[N+]([O-])=O,78.52063,399.15
CC1=NC=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(=C3)[N+]([O-])=O)N12,5.5488005,399.65
COC1=C(C=CC(=C1)[N+]([O-])=O)C(O)C1=NC=CC=C1,13.392496,400.65
C[C@H]1CN(CC(=O)NC2=C(C=CC=C2)[N+]([O-])=O)C[C@@H](C)O1,14.6685705,401.15
COCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C(=O)OC)C(C)(C)O,23.53806,401.65
NC(N/N=C(NC(N)=O)/C([N+]([O-])=O)[N+]([O-])=O)=O,66.94359,402.15
[N-]=[N+]=NCC1=CC2=C(C=C1)C(=O)C1=CC=CC=C1C2=O,5.9691668,403.15
CCOC(=O)CN1C(=O)C(=O)NC2=CC(=C(C=C12)N1C=CC(CN2CCCCC2)=C1)[N+]([O-])=O,2.4876578,403.15
CCCCCNC1=NC(OC2=CC(=CC=C2)[N+]([O-])=O)=C2N=CN(CC(O)=O)C2=N1,22.166935,403.15
CCC([O-])=C(N1C(CC1=O)[N+](C)(C)C)C(=O)OCC1=CC=C(C=C1)[N+]([O-])=O,18.748371,404.15
[O-][N+](=O)C=C1CCCCN1,73.542175,405.15
CCC(C(CC)=CC(CNC(=O)C1=CC=CN=C1)=NO)[N+]([O-])=O,17.339445,405.15
CC(=NO)C(C)(C)NOCCNC(C)(C)C(CN1C=CN=C1[N+]([O-])=O)=NO,69.692764,405.65
CN1N=NN=C1N([N+]([O-])=O)CN([N+]([O-])=O)C,79.72427,406
CCC1=NC2=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(=CC=C2NC)C(=O)OC,18.514,406.15
CN(CC(=O)NC1=C(C=CC=C1)[N+]([O-])=O)CC1=CC=CC=C1,14.73132,407.15
NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](C(O)C(=O)NCCC2=C(C=C(C=C2)[N+]([O-])=O)[N+]([O-])=O)[C@@H](O[N+]([O-])=O)[C@H]1O[N+]([O-])=O,10.127064,407.15
O=[N+](C1=NON=C1C2=NN(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C=C2[N+]([O-])=O)[O-],79.545105,407.15
CN([N+]([O-])=O)CN1N=C(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N=N1,79.13152,407.15
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NCCCN1[N+]([O-])=O)[O-],70.53447,407.92
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NC(OCCO2)C2N1[N+]([O-])=O)[O-],64.79402,408.07
CCCCC1=NC=C(C(=O)OCC)C(=N1)N(C)CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,11.583851,408.65
CON1CCC2(CC1)NC(=O)C(C2=O)(C1=C(C)C=C(C)C=C1C)[N+]([O-])=O,18.415333,409.15
O=C(O)CN([N+]([O-])=O)C(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O,70.491135,409.15
CC(C([N+]([O-])=O)=CC([N+]([O-])=N[N+]([O-])=O)=C1)=C1[N+]([O-])=O,16.388256,410.15
O=[N+](/C([N+]([O-])=O)=C1NCN(CC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)CN\1)[O-],71.23515,410.15
O=[N+](/C([N+]([O-])=O)=C(N(C([H])([H])N(C([H])(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)[H])C1([H])[H])[H])/N1[H])[O-],71.23515,410.15
ON(C1=CC(=CC=C1)[N+]([O-])=O)C1=C(C=C(C=C1)N=O)[N+]([O-])=O,3.5142262,410.65
COC1=C(O)C=C2C(CCC\C2=N/OCC2=CC3=NON=C3C=C2)=C1,8.570681,411.15
[NH2+]=C1OC([C-]([N+]([O-])=O)[N+]([O-])=O)=NN1,67.908325,411.15
OCCN1N=NN/C1=N\[N+]([O-])=O,63.591938,411.15
COC1=CC(=CC2=C1C(=O)C1=C(OC)C=CC=C1C2=O)C(=O)N=[N+]=[N-],10.116482,412.15
CC1=C([N+]([O-])=N[N+]([O-])=O)C=C([N+]([O-])=N[N+]([O-])=O)C=C1,13.000614,412.65
[N-]=[N+]=NCC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,23.53806,412.95
[N-]=[N+]=NCCN1N=NN/C1=N\[N+]([O-])=O,61.974434,413.15
O=C(N[N+]([O-])=O)NC1=NON=C1NC(N[N+]([O-])=O)=O,67.856285,413.15
O=C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N[N+]([O-])=O,63.914864,413.15
NN1N=NC([N+]([O-])=O)=N1,76.64105,413.15
O=[N+](C([N+]([O-])=O)C1=NON=C1/N=N/C2=NON=C2C([N+]([O-])=O)[N+]([O-])=O)[O-],69.231926,413.15
O=C(OCC([N+]([O-])=O)([N+]([O-])=O)C)N[N+]([O-])=O,66.23764,413.15
OCCN1C(=O)C2=CC=CC(N=[N+]=[N-])=C2C1=O,30.375935,414.15
O=[N+](C1=CN(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N=C1[N+]([O-])=O)[O-],77.32845,414.15
CC\C(=C/C(=NO)C(N)=O)C(C)[N+]([O-])=O,65.52001,415.15
O=C(NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,66.06131,415.15
[N-]=[N+]=NC[C@@H]1NC(=O)[C@@H]1NC(=O)COC1=CC=CC=C1,24.790512,415.65
CON=C(C(O)=O)C1=CC(=C(O)C=C1)[N+]([O-])=O,9.14642,415.65
OC(=O)CN1C=CN=C1[N+]([O-])=O,67.18271,416.15
ON1N=NN=C1C2=NOC=N2,82.24224,416.15
[NH2+]=C1OC([C-]([N+]([O-])=O)[N+]([O-])=O)=NN1N,67.13333,416.15
O=[N+](NC1=NC(N=[N+]=[N-])=NN1)[O-],70.21329,416.15
O=[N+](C1=NN(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C([N+]([O-])=O)=C1)[O-],78.9474,416.15
NC1=NON=C1[N+]([O-])=O,76.56618,416.15
C[C@]12CC[C@H]3[C@@H](CCC4=C(N=[N+]=[N-])C(=O)CC[C@]34C)[C@@H]1CCC2=O,58.811478,416.65
COCC1=NC(=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1)C(=O)OCC1=C(C)OC(=O)O1)C(C)(C)O,23.53806,418.15
COC1=C(O)C=C2C(CC\C2=N/OCC2=CC3=NON=C3C=C2)=C1,19.046436,418.15
O=C(OCCCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N,64.1018,418.15
CC1=CC=C(C=C1)C1=C(C=CC=C1)C(=O)C1=NN(N=N1)C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,12.999209,419.15
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)COC(N)=O)[O-],64.987076,419.15
COC1=CC=C(CN2N=NC(=N2)C(O)=O)C=C1,21.0974,419.65
[N-]=[N+]=NC1=C2C(=O)N(CCCCCCN3C(=O)C4=CC=CC(N=[N+]=[N-])=C4C3=O)C(=O)C2=CC=C1,30.375935,420.15
CN([N+]([O-])=O)CN([N+]([O-])=O)C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,60.124043,420.15
CC(C)(C)N1CCN(CCCC2(C)CN3C=C(N=C3O2)[N+]([O-])=O)CC1=O,57.78399,421.15
O=[N+](NC(N=N1)=NN2C1=NN=C2)[O-],73.226555,421.15
O=[N+](C1=C(N=[N+]=[N-])C([N+]([O-])=O)=NN1CC2=NN=NN2)[O-],77.02336,421.15
CCC1=NC2=CC=NN2C(=C1)N(C)CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1,24.264751,421.65
CC(=NO)C(C)(C)NCCONC(C)(C)C(CN1C=CN=C1[N+]([O-])=O)=NO,69.61046,422.65
[O-][N+](=O)C1=CC=C(O1)C1=NN(CC2=CC=CC=C2)C2=CC=CC=C12,27.65288,422.65
[O-][N+](=O)C1=CC=CC2=NC3=CC=CC=C3C(OC3=CC=CC=C3)=C12,6.8346148,423.15
COC1=C(C=CC(CCN)=C1)[N+]([O-])=O,7.708533,423.15
CN(C)C(=O)N1N=NC(=N1)C1=CC(=NC=C1)C1=NN(N=N1)C(=O)N(C)C,24.046667,423.15
OC(=O)C1=C(N\C=C\[N+]([O-])=O)C=CC(=C1)C1=CC=CC=C1,6.903207,423.15
COC1=CC2=C(C=C1OC)C1=NN(C=C1CC2)C1=CC=C(C=C1)[N+]([O-])=O,9.631744,423.15
[N-]=[N+]=NC(N=N1)=NN2C1=NN=C2N[N+]([O-])=O,70.226746,423.15
CN1N=C([N+]([O-])=O)N=N1,80.97945,423.15
CN(CC(NC(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O)=O)[N+]([O-])=O,63.49544,423.15
O=[N+](C1=NON=C1N([N+]([O-])=O)CN([N+]([O-])=O)CN([N+]([O-])=O)C2=NON=C2[N+]([O-])=O)[O-],78.44922,423.15
O=[N+](N(CC(O[N+]([O-])=O)CN([N+]([O-])=O)C(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O)C(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O)[O-],61.07624,423.15
[N-]=[N+]=N[C@@H]1CC[C@H](CNC1=O)C1=CC=CC=C1,24.301033,424.15
CCCCC1=NC=C2C=CCC(N12)C1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1,22.095537,424.15
CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1C(C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,23.485802,424.65
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)N1N=C([N+]([O-])=O)N=C1C2=NN(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C=N2)[O-],78.85475,425.15
CCCCC1=C(CC2=CC=C(C=C2)C2=C(C=CC=C2)C2=NN=NN2C(C2=CC=CC=C2)(C2=CC=CC=C2)C2=CC=CC=C2)C(=O)N(CC2=C(C=CO2)C#N)C(C)=N1,23.53806,426.15
CN(CC(O)=O)[N+]([O-])=O,72.879364,426.15
O=C(OCC)NC1=NON=C1[N+]([O-])=O,61.972977,426.15
CN1C([N+]([O-])=O)=NC(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=N1,79.08989,426.15
COC(=O)C(C(=O)OC)C1=C(C=C(C2=CC=CC=C12)[N+]([O-])=O)C(O)=O,7.094898,426.65
O=C(OC(N/1)C(OC(C)=O)NC1=C([N+]([O-])=O)/[N+]([O-])=O)C,66.98591,426.72
OC1=CC=C2C=CC=C(N3C(=O)C4=CC=CC(N=[N+]=[N-])=C4C3=O)C2=C1,4.128481,427.15
CCCCN1C=C(CCCC)N(CC2=CC=C(C=C2)C2=C(C=CC=C2)C2=NN=NN2)C1=O,24.264751,427.15
[O-]/[N+](C1=C(N)N2C(N=N1)=NC([N+]([O-])=O)=N2)=N\[N+]([O-])=O,40.888298,427.15
NC(OC(C)C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,70.954834,427.15
O=[N+](N(CN([N+]([O-])=O)C1=NON=C1C2=NNN=N2)C3=NON=C3C4=NNN=N4)[O-],77.78983,427.15
O=[N+](C([N+]([O-])=O)([N+]([O-])=O)C1=NNC=C1[N+]([O-])=O)[O-],81.69083,427.35
CCN1C=CC(=CC2=C(C=CC=C2[N+]([O-])=O)[N+]([O-])=O)C2=CC=CC=C12,14.664986,427.65
CCCCC1=NC=C2N1C(CCC2=CC(O)=O)C1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1,22.881971,427.95
CCOC(=O)C(=CNC1=C2NC=C(C(=O)OCC)C(=O)C2=CC(=C1)[N+]([O-])=O)C(=O)OCC,10.221697,428.15
[O-][N+](=O)C1=CC=C(OC(=O)C2=NC=CC=C2)C=C1,19.482262,428.15
COCC(C(C)=CC(CNC(=O)C1=CC=NC=C1)=NO)[N+]([O-])=O,18.454529,428.15
OC(=O)CNC1=C(C2=CC=CC=C2C=C1)[N+]([O-])=O,6.4041133,428.15
O=C(NCC(=O)N(CC1=CC=CC=C1)[C@H]1[C@H](CC2=CC=CC=C2)CCC2=CC=CC=C12)NC1=CC=CC(=C1)C(=O)NC1=NN=NN1,17.763693,428.15
NC1=NC(NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=NO1,73.452934,428.15
O=[N+](/C([N+]([O-])=O)=C1NCN(N=O)CN\1)[O-],71.23515,428.15
CN1C([N+]([O-])=O)=NN=N1,80.85372,428.15
NC(O1)=NN=C1C2=NON=C2[N+]([O-])=O,72.38899,428.15
O=C(OCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)CCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O,60.760258,428.15
CCOC(=O)N1N=NN=C1C1=CC(=O)C2=C(O1)C=CC=C2,9.533585,428.65
O=[N+](C1=CN([N+]([O-])=O)N=C1C2=NOC(C3=NN([N+]([O-])=O)C=C3[N+]([O-])=O)=N2)[O-],72.71845,429.15
CN1C(=O)C(=C(O)C2=CC=CN=C12)[N+]([O-])=O,12.195051,430.15
CC(C)(C)OC(=O)NC1=C(C=C(C#CC2=CC=CC=C2)C(OCC(O)CO)=C1)[N+]([O-])=O,5.9064345,430.15
O=C(OCCOC(N[N+]([O-])=O)=O)N[N+]([O-])=O,61.299084,430.15
O=[N+](/C([N+]([O-])=O)=C1NCN([N+]([O-])=O)CN\1)[O-],69.06207,431.15
O=C(OCC(COC(N[N+]([O-])=O)=O)([N+]([O-])=O)[N+]([O-])=O)N[N+]([O-])=O,65.937515,431.15
ON=C(CC1=C(C=CC=C1)[N+]([O-])=O)C(O)=O,15.486011,432.15
CC1=NC(C2=NON=C2N[N+]([O-])=O)=NO1,70.4086,432.15
O=[N+](C1=CN([N+]([O-])=O)N=C1C2=NN=C(C3=NN([N+]([O-])=O)C=C3[N+]([O-])=O)O2)[O-],72.718445,432.15
CCCCC1=NC=C2N1C(CC=C2CC(O)=O)C1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1,22.345638,432.65
O=C1OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)N1[N+]([O-])=O,73.62865,433.15
NC1=[N+]([O-])ON=C1C2=NO[N+]([O-])=C2N,76.307144,433.15
O=[N+](C1=CN(N=N1)/N=N/N2C=C([N+]([O-])=O)N=N2)[O-],78.50105,433.15
CC(=O)C1=CN([C@H]2C[C@H](O)[C@@H](CN=[N+]=[N-])O2)C(=O)NC1=O,20.666046,433.65
OC(=O)C1=C(NC(=N1)C1=CC=CC2=CC=CC=C12)C1=CC=C(C=C1)[N+]([O-])=O,12.789698,434.15
CC(O)C1C(CC(=O)C(=[N+]=[N-])C(=O)OCC2=CC=C(C=C2)[N+]([O-])=O)NC1=O,18.748371,434.35
[O-][N+](=O)C=CC1=CNC=C1,82.31491,435.15
[N-]=[N+]=NC1=C2C(=O)N(CCCCN3C(=O)C4=CC=CC(N=[N+]=[N-])=C4C3=O)C(=O)C2=CC=C1,30.375935,435.15
OC[C@H]1O[C@H](C[C@@H]1N=[N+]=[N-])N1C=CC(=O)NC1=O,40.81666,435.15
COC1=C(OC)C=C2C(=C1)N=CN=C2N1CCC2=CC(=CC=C12)N=[N+]=[N-],5.796106,435.15
[O-][N+](C([N+]([O-])=O)([N+]([O-])=O)C([H])([H])C([H])([H])C(OC([H])([H])C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O)=O,60.76026,435.95
CC(CC1=CC=C(C=C1)[N+]([O-])=O)(C(O)=O)C(O)=O,18.670864,436.15
CC[C@H](C)[C@H](OCC1=CC=CC=C1)[C@@H]1[C@H](N[C@H]([C@H]1[N+]([O-])=O)C1=CC=CC=C1)C(O)=O,27.223175,436.15
NC1=NN=NN1CCO[N+]([O-])=O,69.494064,436.15
