smiles,Td
C[C@H](N)C(=O)N(CC(O)CNC(=O)C(C)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1)C(=O)OC(C)(C)C,350.15
OC(=O)[C@H](CC1=CNC2=CC=CC=C12)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC1=C(N=CO1)C(O)=O,350.15
CC(C)(C)OC(=O)NC1=C(NC(=O)CC(=O)C2=CC(=CC=C2)C#N)C=C(C=C1)C1=CCN(CC1)C(=O)OC(C)(C)C,350.15
CO[C@]12[C@H]3N[C@H]3CN1C1=C([C@H]2COC(N)=O)C(=O)C(N)=C(C)C1=O,350.65
COC(=O)CN(CCCNC(=O)OC(C)(C)C)C(=O)CN1C=C(C)C(=O)NC1=O,350.65
CC(=NNCCC1=CC=CC=C1)C(N)=O,351.15
NCCC1=CC=C(NC2=NC=CC=C2)C=C1,351.15
CN1CC(C#N)C2C1CC1=CNC3=C1C2=CC=C3,351.65
NNC1=CC=C(OCC2=NC3=CC=CC=C3C=C2)C=C1,352.15
CC1=CN(CCN(CC(N)C(=O)OC(C)(C)C)CC(O)=O)C(=O)NC1=O,352.15
CCOC(=O)COC1=C(C)C=C(NC(=O)OC(C)(C)C)C=C1,352.65
CCCN1C2=C(C=C1C1=CC=CC=C1)C(=O)NCCC2,353.15
CCOC1=CC=C(NC2=CC=CC=C2)C=C1,353.15
CC(C)(C)OC(=O)CC(=O)C1=CC(=NC=C1)N1C=CN=C1,353.15
O=C(OCCCCCCOC1=CC(=O)C(=O)C2=CC=CC=C12)OCCCCCCOC1=CC(=O)C(=O)C2=CC=CC=C12,353.15
CC[C@H](NC(=O)C1=C(OCCN2C(=O)CCC2=O)C(=NC2=CC=CC=C12)C1=CC=CC=C1)C1=CC=CC=C1,353.15
COC1=C(C=CC=C1)N1CCN(CC(=O)NC2=CC(C)=CC=C2)CC1,353.15
CCCCCNC1=NC(NCC2=CC=CC=C2)=C2N=CN(CC(O)=O)C2=N1,354.15
CN(C)CCC1=CNC2=CC=C(CCC(=O)NCC3=CC=C(NC(C)=O)C=C3)C=C12,355.65
CNC(=O)N(O)C1=CC2=C(C=C1)N(CC1=CC=CC=C1)CCCC2,355.65
CC(C)CN(C[C@H](O)COC1=CC=CC2=C1C1=CC=CC=C1N2)C1=CC=C(OC2=CC=C(O)C=C2)C=C1,355.65
COC(C(N1CC(NC(=O)C(=NO)C2=CC=CC=C2)C1=O)C(O)=O)C1=CC=CC=C1,356.15
COC1=CC2=C(CC(=O)N(CCCN(C)CCOC3=CC=C(C=C3)N(C)C)CC2)C=C1OC,356.15
CC(C)(C)OC(=O)COC1CCN(CC1)C(=O)[C@H](CC1=CC=C(OC(C)(C)C)C=C1)NC(=O)CCCCNC(=O)OC(C)(C)C,356.15
OCCOCCOCCN1CCN2C(C1)C1=C(CC3=C2C=CC=C3)C=CC=C1,356.65
OC(=O)CCC1=CN(CC2=CC(=CC=C2)C(=O)NCC2=NC=CC=C2)N=C1C1=CC=CC=C1,357.15
CN1CCN(CC1)C1=NC2=C(NC3=CC(C)(C)CC=C13)C=CC=C2,357.15
CC(NC(CC(O)=O)C1=NC2=CC=CC=C2C=C1)C1=CC=CC=C1,357.15
CCCC(=O)C1=CC2=C(C=C1OC)N(C)C(=N2)C(O)=O,358.15
CC[C@]1(CCCN2CCC3=C(NC4=CC=CC=C34)[C@H]12)C(C)C(=O)NCC1=CC=C(C)C=C1,358.15
CC(=O)NCCNC1=NC(=NC2=C1C=C(N2)C=NOCC1=CC=CC=C1)C1=CC=CC=C1,358.15
CCCC(=O)NCCCC[C@H](NC(=O)CC[C@@H](NC(=O)[C@H](C)NC(=O)OC(C)(C)C)C(N)=O)C(O)=O,358.65
CC1=C(N)C(C)=C(C)C2=C1CC(C)(CN1CCCC1)O2,358.65
COC1=CC2=C(CC(=O)N(CCCN(C)CCCOC3=CC=C(C=C3)N(C)C)CC2)C=C1OC,359.15
CC1(C)OC(=O)C(=C(O)COC2=CC=CC=C2)C(=O)O1,359.15
CN1CCN(CC1)C1=C2C[C@@H](CCC2=CC=C1)NC(=O)C1=C(O)C=CC=C1,360.15
OC1=CC=C(NC2=CC=CC=C2)C=C1,361.15
CCCCC(=O)C1=CC2=C(C=C1C)N(C)C(=N2)C(O)=O,361.15
CN1CCN(CC1)C1=CC=CC2=C1C[C@@H](CO2)NC(=O)C1=CC=C(C=C1)N1CCN(CC1)C(C)=O,361.15
CCCCOC(CC1=CC=C(OCCC2=C(C)OC(=N2)C2=CC=CC=C2)C2=CC=CC=C12)C(O)=O,362.15
CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@H](CCC(O)=O)C(N)=O,362.65
CONC(=N)C1=CC2=C(OC(CCCC3=CC4=C(O3)C=CC(=C4)C(=N)NOC)=C2)C=C1,362.65
NC1=CC=CC(=N1)C1=CC=C(CCN2CCC(C2)NC(=O)NCC2=CC=CC=C2)C=C1,363.15
COC1=C(C=C(C=C1)C1=CC=CN1C(=O)OC(C)(C)C)C(=C)C(=O)C1=CC=C(C=C1)C(O)=O,363.15
CCCC1=C(C(O)=C(C2=C1OC(C)(C)C2)C(C)(C)C)C(C)(C)C,363.45
O=C(NC1N=C(CN2CCOCC2)C2=C(NC1=O)C=CC=C2)OCC1=CC=CC=C1,364.15
COC1=CC(NC2=NC=CC(=N2)C2=CN=C(C=C2)N2CCN[C@@H](C2)C(C)C)=CC(OC)=C1OC,364.15
OC(=O)CCC1=CC=C(C=C1)C1=COC(O)(C1=O)C1=CC=CC=C1,365.15
CC(C)(C)OC(=O)N[C@H]1[C@H](NC1=O)N1C(=O)C2=CC=CC=C2C1=O,365.15
O=C1NC2=C3N(CC2)C(=NC=C3C=C1)C1=CC(CN2CCCC2)=CC=C1,365.15
CCOC(=O)C1=CN(C=N1)C1=C2N=CC=CC2=CC=C1,365.15
COC(=O)C1=CC=C(N)C(=C1)C(N)=O,366.15
COC(=O)N1CCC2=C(C1)C=C(NN)N=N2,366.15
CCC1=C(C2=C(COCCCCCCCCN3CCCCC3)C=C3N2C1=CC=C3O)C1=CC=C(O)C=C1,366.15
CC1=CC(C)=C(NN=NC2=C(C)C=C(C)C=C2C)C(C)=C1,366.15
O=[N+](OC1(O[N+]([O-])=O)COC1)[O-],366.15
CC(C)(C)OC(=O)NC(C(O)=O)C1=CC(NC(N)=O)=CC=C1,367.15
CON(C1CC2=CC=CC=C2CN1C(C)C)C(=O)C1=CC=C(C=C1)C(O)=O,367.15
CC1=CC=C(C=C1)C(=O)C1=CC(C(=O)ON2C(=O)CCC2=O)=C(O)C(O)=C1,367.15
OC1=CC=C(CC2CCCCN2C(=O)C(=O)NC2=CC=C3NC(=O)CC3=C2)C=C1,367.15
COC1=C(CN[C@H]2CCCN(CCCO)[C@H]2C2=CC=CC=C2)C=CC=C1,367.65
CC1(C)NCC(=O)N1CC(=O)NCC(=O)N1CC(=O)NC1(C)C,368.15
CCC1=CN([C@H]2C[C@H](OCC3=CC=CC=C3)[C@@H](CN)O2)C(=O)NC1=O,368.15
O[C@@H]1[C@@H](COC2=CC(OCC3=CC4=CC=CC=C4C=C3)=CC=C12)OC1=CC=CN=C1,368.15
CC(C)N1C(=O)N=CC2=CN=C(NC3=CC=C(C=C3)N3CCC(CCCN4CCOCC4)CC3)N=C12,368.15
