smiles,min_bde_pred,Group
CCCC(=O)NC1=CN(C)C(\C=C\C(O)=O)=C1,58.99179,0
CN1C(=CC2=CC=CC(OC3=CC=NC=C3)=C12)C(=O)NC1=CC(=CN(C)C1=O)C(C)(C)C,20.47788,0
CCCCCCCCCC(C)NC(=O)C=C(C)C1=CC(NC(=O)\C=C/C(O)=O)=CC=C1,21.917576,0
C[C@H](N)C(=O)N(CC(O)CNC(=O)C(C)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1)C(=O)OC(C)(C)C,14.05814,0
OC(=O)[C@H](CC1=CNC2=CC=CC=C12)N[C@@H](CC1=CC=CC=C1)C(=O)NCCC1=C(N=CO1)C(O)=O,27.339504,0
CC(C)(C)OC(=O)NC1=C(NC(=O)CC(=O)C2=CC(=CC=C2)C#N)C=C(C=C1)C1=CCN(CC1)C(=O)OC(C)(C)C,14.424639,0
CO[C@]12[C@H]3N[C@H]3CN1C1=C([C@H]2COC(N)=O)C(=O)C(N)=C(C)C1=O,64.858116,0
COC(=O)CN(CCCNC(=O)OC(C)(C)C)C(=O)CN1C=C(C)C(=O)NC1=O,35.703102,0
CC(=NNCCC1=CC=CC=C1)C(N)=O,26.828821,0
NCCC1=CC=C(NC2=NC=CC=C2)C=C1,23.48975,0
CN1CC(C#N)C2C1CC1=CNC3=C1C2=CC=C3,30.109625,0
NNC1=CC=C(OCC2=NC3=CC=CC=C3C=C2)C=C1,14.873255,0
CC1=CN(CCN(CC(N)C(=O)OC(C)(C)C)CC(O)=O)C(=O)NC1=O,35.73391,0
CCOC(=O)COC1=C(C)C=C(NC(=O)OC(C)(C)C)C=C1,15.649799,0
CCCN1C2=C(C=C1C1=CC=CC=C1)C(=O)NCCC2,24.981396,0
CCOC1=CC=C(NC2=CC=CC=C2)C=C1,20.796059,0
CC(C)(C)OC(=O)CC(=O)C1=CC(=NC=C1)N1C=CN=C1,14.162039,0
O=C(OCCCCCCOC1=CC(=O)C(=O)C2=CC=CC=C12)OCCCCCCOC1=CC(=O)C(=O)C2=CC=CC=C12,18.374928,0
