smiles,Td,min_bde_pred
CC1=C2CCCC(=O)C2=CC=C1,318.15,15.770606
O=C(C1=CC2=C(O1)C=C(C=C2)N1CCCC1)C12CC3CC(CC(C3)C1)C2,318.15,22.072914
CC1=C(C)C(N)=C(C)C2=C1OC(C)(CCC1=CC=CC=C1)C2,318.65,25.704395
CCC1=CC(C(=O)N(C)CCCC(O)=O)=C(N=C1)C1=NC(C)(C(C)C)C(=O)N1,318.65,5.8466377
OC1=C(C2=C(OC3=C2C=CC=C3)C=C1C1=CC=CC=C1)C1=CC=CC=C1,319.15,21.629791
CC1=C2C(=O)N(C(CN=C(C3=CC=CC=C3)C3=CC=CC=C3)=NC2=CC=C1)C1=CC=CC=C1,322.15,13.190693
COC1=C(C=C(C=C1C1=CC(CCC(O)=O)=CC=C1)C(=O)NCCCCCCCCC1=CC=CC=C1)C1=CC(CCC(O)=O)=CC=C1,326.15,16.651337
CN1C(=CC2=CC=CC(OC3=CC=NC=C3)=C12)C(=O)NC1=CC(=CN=C1C)C(C)(C)C,327.15,20.47788
COC(=O)C1=CC=CC=C1C1=CC=C(CNC2=NC(NCCC(C)C)=NC3=CC=CC=C23)C=C1,328.15,8.454908
CC(C)(NC(=O)[C@H](CCCCNC(=O)OCC1=CC=CC=C1)NC(=O)C1=CC=CC=C1)C1=CC=CC=C1,328.65,21.063736
CN[C@@H]1CC[C@@]2(C)C(CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CCCC(C)C)[C@@]4(C)CC[C@H]23)C1,330.15,50.218235
CCCCCC(=O)NC1=NC(=O)N(C=C1)[C@@H]1CO[C@H](CO)O1,332.15,36.723328
COC(=O)C(C)=NNCCC1=CC=CC=C1,332.65,26.828821
COCC[C@H]1CN(CCN1C)C1=NC2=C(NC3=C1C=C(C)C=C3)C=CC=C2,333.15,12.172448
CCN(CC)CCOC1=CC=C(NC2=NN(C=C2)C2=CC=CC=C2)C=C1,333.65,20.131676
CN(CCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2)C(=O)OCOC(=O)C1=CN(C)C=CC1,334.15,14.623133
COC1=C(CCCN(C)C)C=C(C=C1)C(=O)NC1=CC=C(C=C1)C1=C(C)C=C(C=C1)C(=O)OCC(O)CO,334.15,12.17308
NC1=NC2=C(C=CC=C2)C2=C1N=CN2CCCCNC(=O)COC1=CC=CC=C1,334.65,16.058249
NC1=C(NCC=CC2=CC=CC=C2)C=CC=C1,335.65,21.399042
NNC1=CC(OCC2=NC3=CC=CC=C3C=C2)=CC=C1,335.65,14.873255
COCC[C@H]1CN(CCN1)C1=NC2=C(NC3=C1C=C(C)C=C3)C=CC=C2,336.15,12.147666
OC1=CC=C(CCCCN2C(=O)C3=CC=CC=C3C2=O)C=C1,336.65,22.824123
CCCCCCCCCCNN=C(C)C(N)=O,337.15,64.82501
COCC[C@H]1CN(CCN1)C1=NC2=C(NC3=C1C=CC(C)=C3)C=CC=C2,337.15,14.164204
COC1=C(CN[C@H]2CCCN(CCCC#N)[C@H]2C2=CC=CC=C2)C=CC=C1,338.15,19.542698
CC(=O)N(CCC1=CC=C(C=C1)C1=NC(N)=CC=C1)C1CCN(CC2=CC=CC=C2)CC1,338.15,20.96162
OC(=O)CN1CCOC2=C(C=C(NC(=O)NCC3=CC=CC=C3)C=C2)C1=O,338.15,12.67174
CN1CCN(C[C@@H]1CCC1=CC=CC=C1)C1=NC2=C(NC3=C1C=CC(C)=C3)C=CC=C2,338.15,14.258199
CN1CCN(C[C@@H]1CCC1=CC=CC=C1)C1=NC2=C(NC3=C1C=C(C)C=C3)C=CC=C2,338.15,12.213897
NC1=NC(=CC=C1)C1=CC=C(CCNC2CC3=CC=CC=C3C2)C=C1,338.15,20.860867
CC1CCC2=C(C1)C=C(NN)N=N2,339.15,28.970325
C[C@@H]1CN(C[C@H]2CC3=C(C=C(CO)C=C3)N12)C(=O)OC(C)(C)C,339.15,26.790962
CON=C(C(O)=O)C1=NC=CC(NC=O)=N1,340.15,36.920418
CC1=CC2=C(NC3=C(C=CC=C3)N=C2N2CCN[C@@H](CCC3=CC=CC=C3)C2)C=C1,340.15,12.147663
COC1=C(CNC2CCCN(CCCCCCO)C2C2=CC=CC=C2)C=CC=C1,340.65,19.406612
