smiles,Group
O=[N+](C1=NN(NCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)C(N=[N+]=[N-])=C1[N+]([O-])=O)[O-],0
O=[N+](C([N+]([O-])=O)C1=C([N+]([O-])=O)NN=C1)[O-],0
O=[N+](C1=NN2C(N(N[N+]([O-])=O)C3=C([N+]([O-])=O)C([N+]([O-])=O)=NN3C2)=C1[N+]([O-])=O)[O-],0
CC1N=C(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N([N+]([O-])=O)C1,0
O=C(OC1N=C(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N([N+]([O-])=O)C1OC(C)=O)C,0
O=C(CNC(=O)C1=CC(=CC=C1)C1=NN=NN1)N(CC1=CC=CC=C1)[C@H]1[C@H](CC2=CC=CC=C2)CCC2=CC=CC=C12,0
CC(=O)C1=C(C)C(N2C=CCC(=C2)C(O)=O)=C(COCCN=[N+]=[N-])C2=C1OCO2,0
CC1=C(C=CC(=C1)[N+]([O-])=O)C(O)C1=NC=CC=C1,0
O/N=N/C1=NN=NN1CCN2N=CC=C2,0
NC(CCC([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)=O,0
[NH2+]=C(N)C([N+]([O-])=O)([N+]([O-])=O)C1=NN=N[N-]1,0
[H][C@]12CCCC[C@]1([H])N=C(C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O)N2[N+]([O-])=O,0
O=[N+](C1=NN(N[N+]([O-])=O)C(C2=NC([N+]([O-])=O)=NN2N[N+]([O-])=O)=N1)[O-],0
[O-][N+](=O)C1=CC=C(C=CNC(=N)C=CC2=CC=CC=C2)C=C1,0
NC1=CC(=CC(N)=C1)C(=N)NC=CC1=CC=C(C=C1)[N+]([O-])=O,0
CCOC1=NC2=C(N1CC1=CC=C(C=C1)C1=C(C=CC=C1)C1=NN=NN1)C(=CC=C2)C(=O)OCC1=C(C)OC(=O)O1,0
CN([N+]([O-])=O)CN1N=NC(N([N+]([O-])=O)CN([N+]([O-])=O)C)=N1,0
CC(C)(OC(=O)OCC1=CC=C(C=C1)[N+]([O-])=O)[C@H]1[C@@H](CC(=O)CC(=O)OCC2=CC=C(C=C2)[N+]([O-])=O)NC1=O,0
C[C@]12CC[C@H]3[C@@H](C=CC4=C(N=[N+]=[N-])C(=O)C=C[C@]34C)[C@@H]1CCC2=O,0
O=C(OCC)N(C1=NON=C1N([N+]([O-])=O)C(OCC)=O)[N+]([O-])=O,0
