smiles,Group
CC1=C2CCCC(=O)C2=CC=C1,0
O=C(C1=CC2=C(O1)C=C(C=C2)N1CCCC1)C12CC3CC(CC(C3)C1)C2,0
CC1=C(C)C(N)=C(C)C2=C1OC(C)(CCC1=CC=CC=C1)C2,0
CCC1=CC(C(=O)N(C)CCCC(O)=O)=C(N=C1)C1=NC(C)(C(C)C)C(=O)N1,0
OC1=C(C2=C(OC3=C2C=CC=C3)C=C1C1=CC=CC=C1)C1=CC=CC=C1,0
CC1=C2C(=O)N(C(CN=C(C3=CC=CC=C3)C3=CC=CC=C3)=NC2=CC=C1)C1=CC=CC=C1,0
COC1=C(C=C(C=C1C1=CC(CCC(O)=O)=CC=C1)C(=O)NCCCCCCCCC1=CC=CC=C1)C1=CC(CCC(O)=O)=CC=C1,0
CN1C(=CC2=CC=CC(OC3=CC=NC=C3)=C12)C(=O)NC1=CC(=CN=C1C)C(C)(C)C,0
COC(=O)C1=CC=CC=C1C1=CC=C(CNC2=NC(NCCC(C)C)=NC3=CC=CC=C23)C=C1,0
CC(C)(NC(=O)[C@H](CCCCNC(=O)OCC1=CC=CC=C1)NC(=O)C1=CC=CC=C1)C1=CC=CC=C1,0
CN[C@@H]1CC[C@@]2(C)C(CC[C@H]3[C@@H]4CC[C@H]([C@H](C)CCCC(C)C)[C@@]4(C)CC[C@H]23)C1,0
CCCCCC(=O)NC1=NC(=O)N(C=C1)[C@@H]1CO[C@H](CO)O1,0
COC(=O)C(C)=NNCCC1=CC=CC=C1,0
COCC[C@H]1CN(CCN1C)C1=NC2=C(NC3=C1C=C(C)C=C3)C=CC=C2,0
CCN(CC)CCOC1=CC=C(NC2=NN(C=C2)C2=CC=CC=C2)C=C1,0
CN(CCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2)C(=O)OCOC(=O)C1=CN(C)C=CC1,0
COC1=C(CCCN(C)C)C=C(C=C1)C(=O)NC1=CC=C(C=C1)C1=C(C)C=C(C=C1)C(=O)OCC(O)CO,0
